pID	Player	PlayfabID	SquadID	TeamID	Kills	Placement
1	Egan777	5FBF1FC4F71AC681	-1	-1	0	-1
2	Sodium Superoxide	FE979EEEBE80A5A6	6	-1	0	22
3	hovi	168595C09E25BABE	1	-1	0	24
4	Wheatley	373840EAF4187B7F	1	-1	0	24
5	Всадник Хомяка	DD064189367F3DE7	2	-1	0	20
6	Хомикадзе	2474A8DDC13541C7	2	-1	0	20
7	Mercuryyy	8855CCF1F382C88F	3	-1	0	14
8	KOZLOW	CB96A77EABC076D0	3	-1	0	14
9	Neko	83C16BD4221C3D0C	4	-1	2	5
10	Mouton Binoclard	53F9EFB9912B04AE	4	-1	1	5
11	M_	40633242CCF78056	5	-1	2	8
12	FemboDen	EECFE65FF8350A6A	6	-1	0	22
13	Twitch: tioxvt	504F8F334729D335	7	-1	1	7
14	Myndu	CEBD797CCE41952	7	-1	0	7
15	Ddima93	E9AB8EFC5BEC7D47	8	-1	0	19
16	sayoumi	9B500C323875CFE0	9	-1	3	9
17	Reiks1987	D253ADE922A92E85	9	-1	1	9
18	Piuro pie	1975C0922532D51A	10	-1	0	13
19	aliko_mail	7EA4AEF1336513D	10	-1	4	13
20	DenisOsh	4D7015A2F325C97E	11	-1	0	16
21	furry nnaanachi	2F40B9F206E5B4C	11	-1	0	16
22	Evered	89D7A703C1DBAB7F	12	-1	1	2
23	Шад	DFFD5FD168579419	12	-1	1	2
24	OG buba	77B4FA8426A98A8A	13	-1	1	3
25	marko	E99E30B99620674B	13	-1	4	3
26	ГАДДЕМ	4A1DA6DE7E430B96	14	-1	2	12
