Position	Nom du joueur	Points	Victoires	Kills	Parties jouées	KDA	Points par round
1	Ruki	91.00	1	31	10	3.10	8.00	6.00	9.00	5.00	12.00	9.00	11.00	7.00	10.00	14.00
2	The extensive axolotl	85.00	2	12	10	1.20	6.00	8.00	16.00	10.00	0.00	8.00	12.00	7.00	10.00	8.00
3	Eevee	68.00	0	26	9	2.89	3.00	1.00	14.00	15.00	15.00	8.00	9.00	2.00	1.00	0.00
4	AshKetchup	66.00	2	23	9	2.56	0.00	2.00	8.00	3.00	19.00	6.00	4.00	5.00	19.00	0.00
5	c'venash vishneri †	59.00	1	16	9	1.78	0.00	10.00	1.00	6.00	8.00	12.00	15.00	4.00	3.00	0.00
6	IncrptOnX1m	55.00	0	16	9	1.78	10.00	10.00	5.00	7.00	11.00	4.00	5.00	2.00	1.00	0.00
7	FireCracker	54.00	1	10	9	1.11	9.00	13.00	6.00	3.00	1.00	9.00	3.00	3.00	7.00	0.00
8	Roink	52.00	0	13	9	1.44	0.00	4.00	1.00	6.00	8.00	11.00	1.00	15.00	6.00	0.00
9	Nekoレッサーパンダ	50.00	2	11	8	1.38	5.00	1.00	12.00	12.00	7.00	0.00	1.00	12.00	0.00	0.00
10	Slicknar	45.00	0	5	9	0.56	4.00	6.00	2.00	3.00	6.00	7.00	7.00	7.00	3.00	0.00
11	med0iqyt	33.00	0	8	6	1.33	4.00	16.00	1.00	9.00	0.00	3.00	0.00	0.00	0.00	0.00
12	Mouton Binoclard	29.00	0	5	9	0.56	1.00	3.00	2.00	7.00	4.00	4.00	3.00	4.00	1.00	0.00
13	Lone	29.00	0	12	8	1.50	4.00	2.00	2.00	2.00	0.00	8.00	10.00	1.00	0.00	0.00
14	F∀$〒☆ρφ†ε	27.00	0	0	9	0.00	8.00	3.00	1.00	1.00	1.00	1.00	6.00	3.00	3.00	0.00
15	Soft Boiled Egg	23.00	0	3	9	0.33	1.00	0.00	0.00	3.00	0.00	1.00	7.00	4.00	7.00	0.00
16	ttvriver19RAT	22.00	0	4	9	0.44	0.00	0.00	4.00	4.00	1.00	0.00	0.00	9.00	4.00	0.00
17	I d n m c	22.00	0	9	6	1.50	15.00	0.00	1.00	5.00	0.00	1.00	0.00	0.00	0.00	0.00
18	One Chip	22.00	1	4	8	0.50	11.00	1.00	0.00	0.00	5.00	2.00	3.00	0.00	0.00	0.00
19	789	19.00	0	5	9	0.56	0.00	4.00	2.00	0.00	4.00	0.00	1.00	0.00	8.00	0.00
20	M_	18.00	0	3	8	0.38	0.00	3.00	8.00	1.00	1.00	0.00	0.00	1.00	4.00	0.00
21	CottnCandyWeirdo	18.00	0	3	9	0.33	3.00	5.00	1.00	0.00	2.00	3.00	0.00	1.00	3.00	0.00
22	TTv|player	16.00	0	4	7	0.57	0.00	1.00	2.00	1.00	1.00	1.00	3.00	7.00	0.00	0.00
23	Sniperストーム	14.00	0	1	5	0.20	1.00	1.00	9.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
24	Myndu	10.00	0	2	7	0.29	0.00	7.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
25	Yman0434	10.00	0	4	6	0.67	2.00	1.00	3.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00
26	SIGMA MASTER BUNNY	10.00	0	3	9	0.33	0.00	0.00	0.00	1.00	0.00	5.00	1.00	2.00	1.00	0.00
27	[FT] FaZe	9.00	0	1	6	0.17	3.00	0.00	2.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00
28	Drimix	9.00	0	0	9	0.00	1.00	1.00	3.00	0.00	1.00	0.00	1.00	1.00	1.00	0.00
29	ʚAtlasɞ	9.00	0	1	3	0.33	7.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
30	Suchy499	8.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00
31	Kanée	7.00	0	0	9	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	3.00	0.00
32	Stoals-	7.00	0	2	4	0.50	0.00	0.00	0.00	0.00	1.00	3.00	1.00	2.00	0.00	0.00
33	Levit8d	6.00	0	0	7	0.00	1.00	1.00	3.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
34	Matt_Attack1027	3.00	0	1	5	0.20	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
35	TTV-XTODES-EZ	3.00	0	0	3	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
36	Buzz	2.00	0	0	7	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
37	TTVShadowTheNardo	1.00	0	0	2	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38	♡Bearggable♡	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39	CarlTheFox	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40	まはな RyZe	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
