Position	Nom du joueur	Score Final	Victoires	Nb Parties	Kills	Kill Av.	Max Kill	Score Réel	Pts/Pos/Kill R1	Pts/Pos/Kill R2	Pts/Pos/Kill R3	Pts/Pos/Kill R4	Pts/Pos/Kill R5
1	ER | Lumii	57.89	2	5	7	1.40	4	57.89	13.83 / 1 / 1	5.34 / 5 / 0	15.03 / 3 / 4	16.44 / 1 / 2	7.25 / 3 / 0
2	HaWkX7alm	56.06	2	5	11	2.20	4	56.06	8.61 / 7 / 2	18.98 / 1 / 4	6.00 / 7 / 1	5.38 / 8 / 1	17.09 / 1 / 3
3	Neko	45.21	0	5	6	1.20	2	45.21	6.72 / 6 / 1	7.77 / 7 / 2	9.35 / 2 / 0	8.59 / 4 / 1	12.79 / 2 / 2
4	Sniperストーム	40.21	1	5	5	1.00	4	40.21	2.60 / 9 / 0	11.57 / 2 / 1	18.98 / 1 / 4	2.09 / 10 / 0	4.97 / 5 / 0
5	Wolfiee4kHD	36.37	0	5	6	1.20	2	36.37	12.50 / 3 / 2	10.36 / 4 / 2	1.61 / 11 / 0	10.17 / 5 / 2	1.73 / 10 / 0
6	Sthompsone	32.52	0	5	0	0.00	0	32.52	3.16 / 8 / 0	7.66 / 3 / 0	6.37 / 4 / 0	9.35 / 2 / 0	5.98 / 4 / 0
7	Mouton Binoclard	25.64	0	5	3	0.60	2	25.64	4.31 / 10 / 1	4.49 / 6 / 0	2.09 / 10 / 0	12.50 / 3 / 2	2.25 / 9 / 0
8	Oli	25.33	0	5	2	0.40	1	25.33	7.56 / 5 / 1	3.16 / 8 / 0	4.49 / 6 / 0	4.49 / 6 / 0	5.62 / 7 / 1
9	Myndu	25.15	0	5	4	0.80	2	25.15	8.59 / 4 / 1	2.09 / 10 / 0	4.82 / 9 / 1	1.61 / 11 / 0	8.04 / 6 / 2
10	[Z]YannFr	23.34	0	4	2	0.50	1	23.34	11.57 / 2 / 1	1.61 / 11 / 0	5.34 / 5 / 0	4.82 / 9 / 1	0.00 / 0 / 0
11	[FR] Wrpedecho726	16.17	0	5	1	0.20	1	16.17	1.61 / 11 / 0	2.60 / 9 / 0	3.16 / 8 / 0	6.00 / 7 / 1	2.81 / 8 / 0
