Placement	Player	Score	Nb Rounds	Placement Avg	Wins	Kills	Kill Avg	Max Kill	Real Score	Pts/Pos/Kill R1	Pts/Pos/Kill R2	Pts/Pos/Kill R3	Pts/Pos/Kill R4	Pts/Pos/Kill R5	Pts/Pos/Kill R6
1	mein schatz	114.70	6	4.67	2	18	3.00	5	114.70	18.70/2/2	9.26/12/2	7.72/10/1	25.03/1/4	22.90/2/4	31.09/1/5
2	Azzy	85.33	6	8.17	1	16	2.67	5	85.33	9.51/7/1	23.55/3/5	21.85/1/2	4.79/11/0	13.29/11/4	12.33/16/4
3	T.K.	84.47	6	5.17	2	7	1.17	3	84.47	21.85/1/2	24.43/1/3	6.54/8/0	16.34/2/1	9.18/8/1	6.13/11/0
4	wiflax	78.44	6	10.67	0	20	3.33	5	78.44	17.36/8/5	11.25/8/2	4.81/18/1	10.12/9/2	15.14/14/5	19.76/7/5
5	Nafy	68.19	6	10.83	0	9	1.50	4	68.19	16.42/3/2	19.28/2/2	21.36/3/4	0.70/24/0	5.79/10/0	4.65/23/1
6	gurt cronkle 5	65.00	6	11.83	0	11	1.83	5	65.00	9.33/11/2	3.33/25/1	5.95/9/0	1.76/20/0	17.06/4/3	27.58/2/5
7	zzzIncrpt	50.00	6	15.17	0	12	2.00	6	50.00	15.96/6/4	2.32/20/0	8.16/14/2	19.12/7/6	1.29/24/0	3.15/20/0
8	Fizzy	43.80	3	5.67	1	4	1.33	3	43.80	0.00/0/0	0.00/0/0	0.00/0/0	11.80/3/0	24.43/1/3	7.56/13/1
9	Ray	42.20	5	12.20	0	6	1.20	3	42.20	0.00/0/0	13.84/7/3	11.35/5/1	12.19/6/2	2.88/18/0	1.93/25/0
10	UmbraCuticus	42.17	5	8.80	0	2	0.40	1	42.17	5.95/9/0	0.00/-1/0	7.26/11/1	10.13/4/0	14.84/3/1	3.98/17/0
11	[HN] HaWk	40.50	6	13.83	0	4	0.67	3	40.50	3.13/16/0	3.18/17/0	20.57/2/3	7.54/10/1	3.18/17/0	2.89/21/0
12	Arbuzovich	35.65	3	8.67	0	5	1.67	3	35.65	0.00/0/0	0.00/0/0	0.00/0/0	4.92/17/1	10.72/6/1	20.01/3/3
13	Anawaki	34.47	6	14.00	0	2	0.33	1	34.47	11.35/5/1	1.29/24/0	1.41/22/0	5.24/16/1	9.48/5/0	5.70/12/0
14	Genkei Zayets	30.20	5	15.20	0	3	0.60	2	30.20	0.00/0/0	8.07/10/1	14.71/4/2	3.99/13/0	2.60/19/0	0.84/30/0
15	Mouton Binoclard	30.16	6	14.83	0	2	0.33	1	30.16	4.17/13/0	6.79/13/1	1.16/23/0	11.14/5/1	3.49/16/0	3.42/19/0
16	Arbuz Gaming	29.53	6	16.17	0	3	0.50	3	29.53	0.65/25/0	1.54/23/0	14.27/6/3	3.62/14/0	2.32/20/0	7.13/9/0
17	NRG	28.66	5	15.00	0	2	0.40	1	28.66	0.00/0/0	8.44/6/0	7.22/7/0	8.64/8/1	3.09/26/1	1.26/28/0
