pID	Player	PlayfabID	SquadID	TeamID	Kills	Placement
1	♡Bearggable♡	53CEA3CB603F91EE	-1	-1	0	-1
2	CarlTheFox	6CAE7E39AA402F03	-1	-1	0	-1
3	Suchy499	3E36325A4FABCE7A	-1	-1	0	-1
4	c'venash vishneri †	447C4DDBA880376B	-1	-1	2	1
5	IncrptOnX1m	EAECBF4E26363F80	-1	-1	3	20
6	Soft Boiled Egg	893CD418101A1848	-1	-1	0	18
7	Roink	4448A7AC631FAC1B	-1	-1	3	3
8	ttvriver19RAT	AE73C3352F8F84BF	-1	-1	0	31
16	M_	40633242CCF78056	-1	-1	0	25
10	789	59C10C66E64C6A14	-1	-1	0	26
11	Slicknar	FD8027B60B98C191	-1	-1	1	5
12	Mouton Binoclard	53F9EFB9912B04AE	-1	-1	1	12
13	AshKetchup	BB33B0695F75D2A5	-1	-1	3	8
14	I d n m c	8FDD6D4C7BE31EE5	-1	-1	1	29
15	Ruki	4A6F78A217C4DCB6	-1	-1	3	6
17	med0iqyt	54E426DBA416133	-1	-1	0	11
18	Stoals-	E058B0D22C6C412F	-1	-1	0	9
19	SIGMA MASTER BUNNY	924945A68F8A0E7A	-1	-1	2	13
20	Drimix	E12FD374225816AD	-1	-1	0	27
21	[FT] FaZe	39A3F9543E3FBB5	-1	-1	0	23
22	The extensive axolotl	19E28695724AFD95	-1	-1	0	2
23	F∀$〒☆ρφ†ε	2BDAFEF855174022	-1	-1	0	16
24	Levit8d	FC363E46066F2D7F	-1	-1	0	30
25	One Chip	AD92597DFBC8DC2	-1	-1	1	14
26	Nekoレッサーパンダ	83C16BD4221C3D0C	-1	-1	0	24
27	Eevee	C93D376B5C3668E	-1	-1	4	15
28	TTv|player	44ECF08CAD25512	-1	-1	0	19
36	Lone	83AABF1E1A682204	-1	-1	2	7
30	FireCracker	713BA968F0230DA4	-1	-1	3	4
31	CottnCandyWeirdo	383E3EC66B0A4EFF	-1	-1	0	10
32	Myndu	CEBD797CCE41952	-1	-1	0	22
33	TTV-XTODES-EZ	3F82E1BFCAB848F3	-1	-1	0	17
34	Buzz	2CEADA65AA3FB973	-1	-1	0	32
35	Yman0434	BDE35B664932B951	-1	-1	0	21
37	Kanée	347F55A6327E807F	-1	-1	0	28
